NANDO:2200715	DKC1
NANDO:2200715	NHP2
NANDO:2200715	NOP10
NANDO:2200715	NPM1
NANDO:2200715	PARN
NANDO:2200715	RTEL1
NANDO:2200715	TERC
NANDO:2200715	TINF2
NANDO:2200715	USB1
NANDO:2200715	WRAP53
NANDO:1200213	SAA1
NANDO:2200511	SLC25A20
NANDO:1200513	HPCA
NANDO:1200459	ACTG2
NANDO:1200459	LMOD1
NANDO:1200459	MYH11
NANDO:1200459	MYLK
NANDO:2201304	ERF
NANDO:1200516	GCH1
NANDO:2201302	ALX4
NANDO:2201302	ERF
NANDO:2201302	TWIST1
NANDO:2201301	SLC6A8
NANDO:2201300	GAMT
NANDO:1200591	CHD2
NANDO:1200591	CUX2
NANDO:1200591	DNM1
NANDO:1200591	GABRB3
NANDO:1200591	MAPK10
NANDO:1200591	SCN1A
NANDO:1200519	PNKD
NANDO:1200519	PRRT2
NANDO:1200893	MYH9
NANDO:1200891	BRCA1
NANDO:1200891	BRCA2
NANDO:1200891	BRIP1
NANDO:1200891	ERCC4
NANDO:1200891	FANCA
NANDO:1200891	FANCB
NANDO:1200891	FANCC
NANDO:1200891	FANCD2
NANDO:1200891	FANCE
NANDO:1200891	FANCF
NANDO:1200891	FANCG
NANDO:1200891	FANCI
NANDO:1200891	FANCL
NANDO:1200891	FANCM
NANDO:1200891	MAD2L2
NANDO:1200891	PALB2
NANDO:1200891	RAD51
NANDO:1200891	RAD51C
NANDO:1200891	RFWD3
NANDO:1200891	SLX4
NANDO:1200891	UBE2T
NANDO:1200891	XRCC2
NANDO:1200890	ADA2
NANDO:1200890	GATA1
NANDO:1200890	RPL11
NANDO:1200890	RPL15
NANDO:1200890	RPL18
NANDO:1200890	RPL26
NANDO:1200890	RPL27
NANDO:1200890	RPL31
NANDO:1200890	RPL35
NANDO:1200890	RPL35A
NANDO:1200890	RPL5
NANDO:1200890	RPS10
NANDO:1200890	RPS15A
NANDO:1200890	RPS17
NANDO:1200890	RPS19
NANDO:1200890	RPS24
NANDO:1200890	RPS26
NANDO:1200890	RPS27
NANDO:1200890	RPS28
NANDO:1200890	RPS29
NANDO:1200890	RPS7
NANDO:1200890	TSR2
NANDO:2200217	PRKAG2
NANDO:1200191	PRNP
NANDO:2201084	NAGS
NANDO:2200515	HADHA
NANDO:2200515	HADHB
NANDO:2201086	NAGS
NANDO:2201080	BCKDHA
NANDO:2201080	BCKDHB
NANDO:2201080	DBT
NANDO:2201081	BCKDHA
NANDO:2201081	BCKDHB
NANDO:2201081	DBT
NANDO:2201083	CBS
NANDO:2201088	CPS1
NANDO:2201089	CPS1
NANDO:2200884	TOR1A
NANDO:2200878	ARX
NANDO:2200878	CDKL5
NANDO:2200878	CNPY3
NANDO:2200878	GRIN2B
NANDO:2200878	GUF1
NANDO:2200878	NTRK2
NANDO:2200878	PHACTR1
NANDO:2200878	PIGA
NANDO:2200878	PLCB1
NANDO:2200878	SCN2A
NANDO:2200878	SIK1
NANDO:2200878	SPTAN1
NANDO:2200878	ST3GAL3
NANDO:2200878	STXBP1
NANDO:2200878	WDR45
NANDO:2200879	CHD2
NANDO:2200879	CUX2
NANDO:2200879	DNM1
NANDO:2200879	GABRB3
NANDO:2200879	MAPK10
NANDO:2200879	SCN1A
NANDO:1200258	PTPN22
NANDO:1200493	PABPN1
NANDO:2200870	RYR1
NANDO:2201174	SGSH
NANDO:2200876	HSPG2
NANDO:2200875	FHL1
NANDO:2200973	GJA1
NANDO:2200972	CHD7
NANDO:2200972	SEMA3E
NANDO:2201158	AGL
NANDO:2201159	GBE1
NANDO:2200977	ARID1A
NANDO:2200977	ARID1B
NANDO:2200977	ARID2
NANDO:2200977	DPF2
NANDO:2200977	SMARCA4
NANDO:2200977	SMARCB1
NANDO:2200977	SMARCC2
NANDO:2200977	SMARCD1
NANDO:2200977	SMARCE1
NANDO:2200977	SOX11
NANDO:2200977	SOX4
NANDO:1200491	DNMT3B
NANDO:1200491	DUX4
NANDO:1200491	DUX4L1
NANDO:1200491	FRG1
NANDO:1200491	SMCHD1
NANDO:2200975	FGFR2
NANDO:2200974	IKBKG
NANDO:2201152	GYS1
NANDO:2201153	G6PC1
NANDO:2200979	DHCR7
NANDO:2200978	GPC3
NANDO:2200978	GPC4
NANDO:2201156	AGL
NANDO:2201157	AGL
NANDO:2201154	SLC37A4
NANDO:2201155	AGL
NANDO:2201012	ALPL
NANDO:2201010	FGFR3
NANDO:2200929	GPR35
NANDO:2200929	MST1
NANDO:2200929	TCF4
NANDO:2201016	COL11A1
NANDO:2201016	COL11A2
NANDO:2201016	COL9A1
NANDO:2201016	COL9A2
NANDO:2201016	COL9A3
NANDO:2201015	EXT1
NANDO:2201015	EXT2
NANDO:2201015	IDH1
NANDO:2201015	IDH2
NANDO:2201015	PTH1R
NANDO:2201014	EXT1
NANDO:2201014	EXT2
NANDO:1200967	LMX1B
NANDO:2201019	FLNB
NANDO:2201018	COMP
NANDO:1200961	DHCR7
NANDO:1200960	HDAC8
NANDO:1200960	KMT2A
NANDO:1200960	NIPBL
NANDO:1200960	RAD21
NANDO:1200960	SETD5
NANDO:1200960	SMC1A
NANDO:1200960	SMC3
NANDO:2200375	POR
NANDO:2201233	LIPA
NANDO:1200633	HLA-DQB1
NANDO:1200633	HLA-DRB1
NANDO:1200631	ATP2C1
NANDO:2200372	CYP11B1
NANDO:2201169	IDUA
NANDO:2200971	HRAS
NANDO:1200639	LYST
NANDO:1200068	GLB1
NANDO:1200069	GLB1
NANDO:1200712	COL4A5
NANDO:1200062	SMPD1
NANDO:2200881	EPM2A
NANDO:2200881	NHLRC1
NANDO:1200713	LAGE3
NANDO:1200713	NUP107
NANDO:1200713	NUP133
NANDO:1200713	OSGEP
NANDO:1200713	TP53RK
NANDO:1200713	TPRKB
NANDO:1200713	WDR4
NANDO:1200713	WDR73
NANDO:1200066	GLB1
NANDO:1200067	GLB1
NANDO:2200976	FGFR1
NANDO:2200976	FGFR2
NANDO:1200343	BTK
NANDO:1200342	CTC1
NANDO:1200342	DKC1
NANDO:1200342	NHP2
NANDO:1200342	NOP10
